"(PDH-CSV 4.0)","\\LAPTOP-F9C6CI3F\Proceso(httpd)\Espacio de trabajo - Privado","\\LAPTOP-F9C6CI3F\Proceso(httpd)\Operaciones de ES de datos/s","\\LAPTOP-F9C6CI3F\Proceso(httpd)\Otras operaciones de ES/s","\\LAPTOP-F9C6CI3F\Proceso(httpd)\Tiempo transcurrido","\\LAPTOP-F9C6CI3F\Proceso(httpd)\Uso m�ximo del espacio de trabajo","\\LAPTOP-F9C6CI3F\Proceso(mysqld)\Espacio de trabajo - Privado","\\LAPTOP-F9C6CI3F\Proceso(mysqld)\Operaciones de ES de datos/s","\\LAPTOP-F9C6CI3F\Proceso(mysqld)\Otras operaciones de ES/s","\\LAPTOP-F9C6CI3F\Proceso(mysqld)\Tiempo transcurrido","\\LAPTOP-F9C6CI3F\Proceso(mysqld)\Uso m�ximo del espacio de trabajo","\\LAPTOP-F9C6CI3F\Interfaz de red(Qualcomm Atheros QCA9377 Wireless Network Adapter)\Bytes enviados/s","\\LAPTOP-F9C6CI3F\Interfaz de red(Qualcomm Atheros QCA9377 Wireless Network Adapter)\Bytes recibidos/s","\\LAPTOP-F9C6CI3F\Proceso(httpd)\% de tiempo de procesador","\\LAPTOP-F9C6CI3F\Proceso(mysqld)\% de tiempo de procesador"
"05/21/2023 20:11:33.963","49152"," "," ","99575.998130899999524","21909504","704512"," "," ","99575.938661899999715","47558656"," "," "," "," "
"05/21/2023 20:11:34.964","49152","0","0","99576.999650500001735","21909504","704512","0","0","99576.940181500001927","47558656","3720.2520258219497009","2441.0358776611924441","0","0"
"05/21/2023 20:11:35.967","49152","0","0","99578.002357200006372","21909504","704512","0","0","99577.942888200006564","47558656","211500.05559990802431","69577.176412275061011","0","0"
"05/21/2023 20:11:36.987","49152","0","0","99579.021987200001604","21909504","704512","0","0","99578.962518200001796","47558656","38915.821282402968791","53947.489972186318482","0","0"
"05/21/2023 20:11:37.971","49152","0","0","99580.006642599997576","21909504","704512","0","0","99579.947173599997768","47558656","0","0","0","0"
"05/21/2023 20:11:38.971","49152","0","0","99581.006654800003162","21909504","704512","0","0","99580.947185800003354","47558656","6619.8854759812647899","7347.8728817991441247","0","0"
"05/21/2023 20:11:39.971","49152","0","0","99582.006408800007193","21909504","704512","0","0","99581.946939799992833","47558656","152.03154654590827022","229.04752736192759244","0","0"
"05/21/2023 20:11:40.982","49152","0","0","99583.017262699999264","21909504","704512","0","0","99582.957793699999456","47558656","126.63143081150465719","144.43897576937249028","0","0"
"05/21/2023 20:11:41.967","49152","0","0","99584.00203170000168","21909504","704512","0","0","99583.942562700001872","47558656","0","0","0","0"
"05/21/2023 20:11:42.967","49152","0","0","99585.00204429999576","21909504","704512","0","0","99584.942575299995951","47558656","0","0","0","0"
"05/21/2023 20:11:43.968","49152","0","0","99586.00289299999713","21909504","704512","0","0","99585.943423999997322","47558656","0","0","0","0"
"05/21/2023 20:11:44.977","49152","0","0","99587.01253330000327","21909504","704512","0","0","99586.953064300003462","47558656","0","0","0","0"
"05/21/2023 20:11:45.983","49152","0","0","99588.018244299993967","21909504","704512","0","0","99587.958775299994159","47558656","127.26380434462718938","145.16027683059039077","0","0"
"05/21/2023 20:11:46.968","49152","0","0","99589.003100700007053","21909504","704512","0","0","99588.943631700007245","47558656","0","0","0","0"
"05/21/2023 20:11:47.983","49152","0","0","99590.018652200000361","21909504","704512","0","0","99589.959183200000552","47558656","0","0","0","0"
"05/21/2023 20:11:48.970","49152","0","0","99591.005088499994599","21909504","704512","0","0","99590.945619499994791","47558656","0","0","0","0"
"05/21/2023 20:11:49.982","49152","0","0","99592.017256699997233","21909504","704512","0","0","99591.957787699997425","47558656","0","0","0","0"
"05/21/2023 20:11:50.968","49152","0","0","99593.00345489999745","21909504","704512","0","0","99592.943985899997642","47558656","129.78823528457439807","148.03970587146767457","0","0"
"05/21/2023 20:11:51.984","49152","0","0","99594.01906940000481","21909504","704512","0","0","99593.959600400005002","47558656","0","0","0","0"
"05/21/2023 20:11:52.968","49152","0","0","99595.003509500005748","21909504","704512","0","0","99594.94404050000594","47558656","0","0","0","0"
"05/21/2023 20:11:53.969","49152","0","0","99596.004262999995262","21909504","704512","0","0","99595.944793999995454","47558656","0","0","0","0"
"05/21/2023 20:11:54.969","49152","0","0","99597.004569800003082","21909504","704512","0","0","99596.945100800003274","47558656","1212.5416592528024466","185.92971856638192207","0","0"
