"(PDH-CSV 4.0)","\\LAPTOP-F9C6CI3F\Proceso(httpd)\Espacio de trabajo - Privado","\\LAPTOP-F9C6CI3F\Proceso(httpd)\Operaciones de ES de datos/s","\\LAPTOP-F9C6CI3F\Proceso(httpd)\Otras operaciones de ES/s","\\LAPTOP-F9C6CI3F\Proceso(httpd)\Tiempo transcurrido","\\LAPTOP-F9C6CI3F\Proceso(httpd)\Uso m�ximo del espacio de trabajo","\\LAPTOP-F9C6CI3F\Proceso(mysqld)\Espacio de trabajo - Privado","\\LAPTOP-F9C6CI3F\Proceso(mysqld)\Operaciones de ES de datos/s","\\LAPTOP-F9C6CI3F\Proceso(mysqld)\Otras operaciones de ES/s","\\LAPTOP-F9C6CI3F\Proceso(mysqld)\Tiempo transcurrido","\\LAPTOP-F9C6CI3F\Proceso(mysqld)\Uso m�ximo del espacio de trabajo","\\LAPTOP-F9C6CI3F\Interfaz de red(Qualcomm Atheros QCA9377 Wireless Network Adapter)\Bytes enviados/s","\\LAPTOP-F9C6CI3F\Interfaz de red(Qualcomm Atheros QCA9377 Wireless Network Adapter)\Bytes recibidos/s","\\LAPTOP-F9C6CI3F\Proceso(httpd)\% de tiempo de procesador","\\LAPTOP-F9C6CI3F\Proceso(mysqld)\% de tiempo de procesador"
"05/21/2023 19:30:30.819","49152"," "," ","97112.870228800005862","21909504","704512"," "," ","97112.810759800006053","47558656"," "," "," "," "
"05/21/2023 19:30:31.820","49152","0","0","97113.854871000003186","21909504","704512","0","0","97113.795402000003378","47558656","290.3387771341079997","67.711516928802566895","0","0"
"05/21/2023 19:30:32.832","49152","0","0","97114.86724239999603","21909504","704512","0","0","97114.807773399996222","47558656","3742.6025815364346272","5454.3814872642360569","0","0"
"05/21/2023 19:30:33.821","49152","0","0","97115.856631999995443","21909504","704512","0","0","97115.797162999995635","47558656","219.31648652562967072","0","0","0"
"05/21/2023 19:30:34.822","49152","0","0","97116.856806099996902","21909504","704512","0","0","97116.797337099997094","47558656","216.97020999016834253","0","0","0"
"05/21/2023 19:30:35.837","49152","0","0","97117.872154500000761","21909504","704512","0","0","97117.812685500000953","47558656","84.695469560546712273","84.695469560546712273","0","0"
"05/21/2023 19:30:36.837","49152","0","0","97118.872139200000674","21909504","704512","0","0","97118.812670200000866","47558656","0","0","0","0"
"05/21/2023 19:30:37.836","49152","0","0","97119.871402000004309","21909504","704512","0","0","97119.811933000004501","47558656","42.030539389920718918","60.043627699886741311","0","0"
"05/21/2023 19:30:38.822","49152","0","0","97120.856824000002234","21909504","704512","0","0","97120.797355000002426","47558656","5884.8589145921159798","3089.0688973992760111","0","0"
"05/21/2023 19:30:39.837","49152","0","0","97121.87241019999783","21909504","704512","0","0","97121.812941199998022","47558656","201.85197712042301532","4772.5684541594655457","0","0"
