"(PDH-CSV 4.0)","\\LAPTOP-F9C6CI3F\Proceso(httpd)\Espacio de trabajo - Privado","\\LAPTOP-F9C6CI3F\Proceso(httpd)\Operaciones de ES de datos/s","\\LAPTOP-F9C6CI3F\Proceso(httpd)\Otras operaciones de ES/s","\\LAPTOP-F9C6CI3F\Proceso(httpd)\Tiempo transcurrido","\\LAPTOP-F9C6CI3F\Proceso(httpd)\Uso m�ximo del espacio de trabajo","\\LAPTOP-F9C6CI3F\Proceso(mysqld)\Espacio de trabajo - Privado","\\LAPTOP-F9C6CI3F\Proceso(mysqld)\Operaciones de ES de datos/s","\\LAPTOP-F9C6CI3F\Proceso(mysqld)\Otras operaciones de ES/s","\\LAPTOP-F9C6CI3F\Proceso(mysqld)\Tiempo transcurrido","\\LAPTOP-F9C6CI3F\Proceso(mysqld)\Uso m�ximo del espacio de trabajo","\\LAPTOP-F9C6CI3F\Interfaz de red(Qualcomm Atheros QCA9377 Wireless Network Adapter)\Bytes enviados/s","\\LAPTOP-F9C6CI3F\Interfaz de red(Qualcomm Atheros QCA9377 Wireless Network Adapter)\Bytes recibidos/s","\\LAPTOP-F9C6CI3F\Proceso(httpd)\% de tiempo de procesador","\\LAPTOP-F9C6CI3F\Proceso(mysqld)\% de tiempo de procesador"
"05/17/2023 07:32:07.268","700416"," "," ","1600.2063180000000102","22003712","6021120"," "," ","1600.1442617000000155","47443968"," "," "," "," "
"05/17/2023 07:32:08.278","700416","0","0","1601.2005983999999899","22003712","6021120","0","0","1601.1385420999999951","47443968","0","0","0","0"
"05/17/2023 07:32:09.284","700416","0","0","1602.2063590000000204","22003712","6021120","0","0","1602.1443027000000257","47443968","0","423.54917505347054885","0","0"
"05/17/2023 07:32:10.274","700416","0","0","1603.1964104999999563","22003712","6021120","0","0","1603.1343541999999616","47443968","991.75970894377383047","2396.5843068468179808","0","0"
"05/17/2023 07:32:11.288","700416","0","0","1604.2105976000000283","22003712","6021120","0","0","1604.1485413000000335","47443968","290.88416361534109456","310.60512386044899813","0","0"
"05/17/2023 07:32:12.273","700416","0","0","1605.1954370999999355","22003712","6021120","0","0","1605.1333807999999408","47443968","3172.6332957911831727","1105.9531559272081722","0","0"
"05/17/2023 07:32:13.288","671744","0","0","1606.2109841999999844","22003712","6012928","0","0","1606.1489278999999897","47443968","10247.322127677674871","12279.653526882702863","0","0"
"05/17/2023 07:32:14.273","671744","0","0","1607.1953650999998899","22003712","6041600","0","14.222444724468578769","1607.1333087999998952","47443968","19757.007500104635255","1433244.517552325502","0","0"
"05/17/2023 07:32:15.275","671744","0","0","1608.1980338999999276","22003712","6041600","0","0","1608.1359775999999329","47443968","8754.4612451298999076","1615725.1224816837348","0","0"
"05/17/2023 07:32:16.277","671744","0","0","1609.1997839999999087","22003712","6041600","0","0","1609.137727699999914","47443968","488.14837634263261634","507.11528667087395661","0","0"
"05/17/2023 07:32:17.284","671744","0","0","1610.2064382999999452","22003712","6041600","0","0","1610.1443819999999505","47443968","4971.3476912292371708","6777.484802071514423","0","0"
"05/17/2023 07:32:18.274","671744","0","0","1611.1964662000000317","22003712","6041600","0","0","1611.1344099000000369","47443968","3123.8912231382469145","5327.6838674601531238","0","0"
"05/17/2023 07:32:19.274","671744","0","0","1612.1969272999999703","22003712","6041600","0","0","1612.1348709999999755","47443968","245.89202881014949753","288.87315579728942794","0","0"
"05/17/2023 07:32:20.274","671744","0","0","1613.1966293999998925","22003712","6041600","0","0","1613.1345730999998977","47443968","1129.2743007276467324","703.17080018736555758","0","0"
"05/17/2023 07:32:21.275","671744","0","0","1614.1976984000000357","22003712","6041600","0","0","1614.135642100000041","47443968","2755.0240230503009116","1100.8109040614326659","0","0"
"05/17/2023 07:32:22.276","671744","0","0","1615.1984726999999111","22003712","6041600","0","0","1615.1364163999999164","47443968","8007.6388857659785572","6484.6585211201090715","0","0"
"05/17/2023 07:32:23.278","671744","0","0","1616.2008118999999624","22003712","6041600","0","0","1616.1387555999999677","47443968","192.52880500263651697","632.45213664078528382","0","0"
"05/17/2023 07:32:24.283","671744","0","0","1617.2060125999998945","22003712","6041600","0","0","1617.1439562999998998","47443968","0","0","0","0"
