"(PDH-CSV 4.0)","\\LAPTOP-F9C6CI3F\Proceso(httpd)\Espacio de trabajo - Privado","\\LAPTOP-F9C6CI3F\Proceso(httpd)\Operaciones de ES de datos/s","\\LAPTOP-F9C6CI3F\Proceso(httpd)\Otras operaciones de ES/s","\\LAPTOP-F9C6CI3F\Proceso(httpd)\Tiempo transcurrido","\\LAPTOP-F9C6CI3F\Proceso(httpd)\Uso m�ximo del espacio de trabajo","\\LAPTOP-F9C6CI3F\Proceso(mysqld)\Espacio de trabajo - Privado","\\LAPTOP-F9C6CI3F\Proceso(mysqld)\Operaciones de ES de datos/s","\\LAPTOP-F9C6CI3F\Proceso(mysqld)\Otras operaciones de ES/s","\\LAPTOP-F9C6CI3F\Proceso(mysqld)\Tiempo transcurrido","\\LAPTOP-F9C6CI3F\Proceso(mysqld)\Uso m�ximo del espacio de trabajo","\\LAPTOP-F9C6CI3F\Interfaz de red(Qualcomm Atheros QCA9377 Wireless Network Adapter)\Bytes enviados/s","\\LAPTOP-F9C6CI3F\Interfaz de red(Qualcomm Atheros QCA9377 Wireless Network Adapter)\Bytes recibidos/s","\\LAPTOP-F9C6CI3F\Proceso(httpd)\% de tiempo de procesador","\\LAPTOP-F9C6CI3F\Proceso(mysqld)\% de tiempo de procesador"
"05/22/2023 11:43:22.607","126976"," "," ","155484.65643820000696","21909504","12795904"," "," ","155484.59696920000715","47558656"," "," "," "," "
"05/22/2023 11:43:23.615","126976","0","0","155485.65001829998801","21909504","12795904","0","0","155485.5905492999882","47558656","0","0","0","0"
"05/22/2023 11:43:24.614","126976","0","0","155486.64935709998826","21909504","12795904","0","0","155486.58988809998846","47558656","0","0","0","0"
"05/22/2023 11:43:25.622","126976","0","0","155487.65672329999506","21909504","12795904","0","0","155487.59725429999526","47558656","0","0","0","0"
"05/22/2023 11:43:26.619","126976","0","0","155488.65442310000071","21909504","12795904","0","0","155488.5949541000009","47558656","217.48006549657714004","0","0","0"
"05/22/2023 11:43:27.632","126976","0","0","155489.66725100000622","21909504","12795904","0","0","155489.60778200000641","47558656","16781.838762226081599","67905.471491660093307","0","0"
"05/22/2023 11:43:28.613","126976","0","0","155490.64779710001312","21909504","12808192","0","73.422315060660594099","155490.58832810001331","47558656","7414.6340667508775368","27623.106532821864675","0","0"
"05/22/2023 11:43:29.626","126976","0","0","155491.66117929999018","21909504","8282112","3.9474780155080622102","796.40368962875152192","155491.60171029999037","47558656","11567.097454942499098","29247.851486403109448","0","0"
"05/22/2023 11:43:30.624","126976","0","0","155492.65964339999482","21909504","12791808","2.0030837474291671718","136.20969482518336235","155492.60017439999501","47558656","6026.2774541406497519","115728.16350772013539","0","1.564903535339928764"
"05/22/2023 11:43:31.619","126976","0","0","155493.65400330000557","21909504","12804096","0","871.81713841660712205","155493.59453430000576","47558656","1321.3007149704981202","13379.929462250720462","0","0"
"05/22/2023 11:43:32.621","126976","0","0","155494.65635780000594","21909504","12804096","0","133.69704250169115767","155494.59688880000613","47558656","714.38121217321543099","276.37373711170482693","0","0"
"05/22/2023 11:43:33.625","126976","0","0","155495.66044879998663","21909504","12804096","0","656.30860965353281244","155495.60097979998682","47558656","236.03207964778039241","1014.8383508906675843","0","0"
"05/22/2023 11:43:34.618","126976","0","0","155496.65292520000366","21909504","12853248","0","247.8637619854975469","155496.59345620000386","47558656","1628.2432494657075495","15021.954583096678107","0","0"
